kmer275 	good	58.66	42.86
kmer276 	bad	66.47	61.90
kmer277 	good	60.61	47.62
kmer278 	good	62.56	52.38
kmer279 	bad	58.66	42.86
kmer280 	bad	60.61	47.62
kmer281 	bad	62.56	52.38
kmer282 	bad	56.71	38.10
kmer283 	bad	58.66	42.86
kmer284 	bad	60.61	47.62
kmer285 	bad	62.56	52.38
kmer286 	bad	52.80	28.57
kmer287 	bad	66.47	61.90
kmer288 	bad	64.52	57.14
kmer289 	bad	54.75	33.33
kmer290 	bad	62.56	52.38
kmer291 	bad	62.56	52.38
kmer292 	bad	60.61	47.62
kmer293 	good	56.71	38.10
kmer294 	bad	52.80	28.57
kmer295 	bad	50.85	23.81
kmer296 	bad	56.71	38.10
kmer297 	good	66.47	61.90
kmer298 	bad	62.56	52.38
kmer299 	bad	66.47	61.90
kmer300 	bad	58.66	42.86
kmer301 	bad	58.66	42.86
kmer302 	bad	52.80	28.57
kmer303 	bad	52.80	28.57
kmer304 	bad	58.66	42.86
kmer305 	bad	64.52	57.14
kmer306 	bad	64.52	57.14
kmer307 	bad	68.42	66.67
kmer308 	bad	54.75	33.33
kmer309 	bad	72.33	76.19
kmer310 	bad	66.47	61.90
kmer311 	bad	70.37	71.43
kmer312 	bad	64.52	57.14
kmer313 	good	64.52	57.14
kmer314 	bad	66.47	61.90
kmer315 	bad	62.56	52.38
kmer316 	bad	66.47	61.90
kmer317 	bad	62.56	52.38
kmer318 	bad	68.42	66.67
kmer319 	bad	56.71	38.10
kmer320 	bad	62.56	52.38
kmer321 	good	64.52	57.14
kmer322 	good	62.56	52.38
kmer323 	bad	58.66	42.86
kmer324 	bad	58.66	42.86
kmer325 	bad	62.56	52.38
kmer326 	bad	62.56	52.38
kmer327 	bad	64.52	57.14
kmer328 	bad	56.71	38.10
kmer329 	bad	64.52	57.14
kmer330 	bad	62.56	52.38
kmer331 	bad	62.56	52.38
kmer332 	bad	52.80	28.57
kmer333 	good	62.56	52.38
kmer334 	bad	58.66	42.86
kmer335 	good	62.56	52.38
kmer336 	bad	58.66	42.86
kmer337 	bad	62.56	52.38
kmer338 	bad	58.66	42.86
kmer339 	bad	64.52	57.14
kmer340 	bad	66.47	61.90
kmer341 	bad	60.61	47.62
kmer342 	bad	54.75	33.33
kmer343 	bad	58.66	42.86
kmer344 	bad	62.56	52.38
kmer345 	bad	62.56	52.38
kmer346 	bad	62.56	52.38
kmer347 	bad	58.66	42.86
kmer348 	bad	64.52	57.14
kmer349 	bad	68.42	66.67
kmer350 	bad	62.56	52.38
kmer351 	bad	66.47	61.90
kmer352 	bad	62.56	52.38
kmer353 	good	60.61	47.62
kmer354 	bad	60.61	47.62
kmer355 	bad	58.66	42.86
kmer356 	bad	56.71	38.10
kmer357 	bad	64.52	57.14
kmer358 	bad	58.66	42.86
kmer359 	bad	60.61	47.62
kmer360 	bad	64.52	57.14
kmer361 	bad	62.56	52.38
kmer362 	bad	66.47	61.90
